Symbol,Name,Market,Sector
CFPT2532,,,Unknown
CFPT2533,,,Unknown
CFPT2603,,,Unknown
CFPT2604,,,Unknown
CFPT2606,,,Unknown
CFPT2608,,,Unknown
CFPT2609,,,Unknown
CFPT2610,,,Unknown
CFPT2611,,,Unknown
CFPT2612,,,Unknown
CFPT2613,,,Unknown
CFPT2614,,,Unknown
CFPT2615,,,Unknown
CFPT2616,,,Unknown
CFPT2617,,,Unknown
CFPT2621,,,Unknown
CFPT2622,,,Unknown
CFPT2623,,,Unknown
CFPT2624,,,Unknown
CFPT2625,,,Unknown
CFPT2626,,,Unknown
CFPT2627,,,Unknown
CFPT2628,,,Unknown
CFPT2629,,,Unknown
CFPT2630,,,Unknown
CFPT2631,,,Unknown
CHDB2509,,,Unknown
CHDB2602,,,Unknown
CHDB2603,,,Unknown
CHDB2604,,,Unknown
CHDB2605,,,Unknown
CHDB2606,,,Unknown
CHDB2607,,,Unknown
CHDB2608,,,Unknown
CHDB2609,,,Unknown
CHDB2610,,,Unknown
CHDB2611,,,Unknown
CHDB2612,,,Unknown
CHDB2613,,,Unknown
CHDB2614,,,Unknown
CHDB2615,,,Unknown
CHP,Central Hydropower JSC,HOSE,Utilities
CHPG2525,,,Unknown
CHPG2539,,,Unknown
CHPG2540,,,Unknown
CHPG2541,,,Unknown
CHPG2603,,,Unknown
CHPG2604,,,Unknown
CHPG2605,,,Unknown
CHPG2606,,,Unknown
CHPG2607,,,Unknown
CHPG2609,,,Unknown
CHPG2610,,,Unknown
CHPG2613,,,Unknown
CHPG2614,,,Unknown
CHPG2615,,,Unknown
CHPG2616,,,Unknown
CHPG2617,,,Unknown
CHPG2618,,,Unknown
CHPG2619,,,Unknown
CHPG2620,,,Unknown
CHPG2621,,,Unknown
CHPG2625,,,Unknown
CHPG2626,,,Unknown
CHPG2627,,,Unknown
CHPG2628,,,Unknown
CHPG2629,,,Unknown
CHPG2630,,,Unknown
CHPG2631,,,Unknown
CHPG2632,,,Unknown
CHPG2633,,,Unknown
CHPG2634,,,Unknown
CIA,Cam Ranh International Airport Services JSC,HNX,Transportation
CIG,COMA18 JSC,HOSE,Finance
CII,Ho Chi Minh City Infrastructure Investment JSC,HOSE,Finance
CJC,,,Unknown
CKG,CIC Group Joint Stock Company,HOSE,Industrial services
CKV,Cokyvina Joint Stock Company,HNX,Electronic technology
CLC,Cat Loi JSC,HOSE,Process industries
CLH,VVMI La Hien Cement Joint Stock Company,HNX,Non-energy minerals
CLL,Cat Lai Port Joint Stock Company,HOSE,Transportation
CLM,Vinacomin - Coal Import Export Joint Stock Company,HNX,Energy minerals
CLPB2603,,,Unknown
CLPB2604,,,Unknown
CLPB2605,,,Unknown
CLPB2606,,,Unknown
CLPB2607,,,Unknown
CLPB2608,,,Unknown
CLPB2609,,,Unknown
CLPB2610,,,Unknown
CLW,Cho Lon Water Supply JSC,HOSE,Utilities
CMBB2517,,,Unknown
CMBB2521,,,Unknown
CMBB2522,,,Unknown
CMBB2523,,,Unknown
CMBB2603,,,Unknown
CMBB2604,,,Unknown
CMBB2605,,,Unknown
CMBB2606,,,Unknown
CMBB2607,,,Unknown
CMBB2609,,,Unknown
CMBB2610,,,Unknown
CMBB2614,,,Unknown
CMBB2615,,,Unknown
CMBB2616,,,Unknown
CMBB2617,,,Unknown
CMBB2618,,,Unknown
CMBB2619,,,Unknown
CMBB2620,,,Unknown
CMBB2621,,,Unknown
CMBB2622,,,Unknown
CMC,CMC Investment Joint Stock Company,HNX,Consumer durables
CMG,CMC Corporation,HOSE,Technology services
CMS,CMH Vietnam Group Joint Stock Company,HNX,Industrial services
CMSN2522,,,Unknown
CMSN2601,,,Unknown
CMSN2605,,,Unknown
CMSN2609,,,Unknown
CMSN2610,,,Unknown
CMSN2611,,,Unknown
CMSN2612,,,Unknown
CMSN2613,,,Unknown
CMSN2614,,,Unknown
CMSN2615,,,Unknown
CMSN2619,,,Unknown
CMSN2620,,,Unknown
CMSN2621,,,Unknown
CMSN2622,,,Unknown
CMSN2623,,,Unknown
CMSN2624,,,Unknown
CMSN2625,,,Unknown
CMSN2626,,,Unknown
CMV,Camau Trading JSC,HOSE,Retail trade
CMWG2525,,,Unknown
CMWG2526,,,Unknown
CMWG2527,,,Unknown
CMWG2603,,,Unknown
CMWG2604,,,Unknown
CMWG2609,,,Unknown
CMWG2610,,,Unknown
CMWG2611,,,Unknown
CMWG2612,,,Unknown
CMWG2616,,,Unknown
CMWG2617,,,Unknown
CMWG2618,,,Unknown
CMWG2619,,,Unknown
CMWG2620,,,Unknown
CMWG2621,,,Unknown
CMWG2622,,,Unknown
CMWG2623,,,Unknown
CMWG2624,,,Unknown
CMWG2625,,,Unknown
CMX,Ca Mau Group Joint Stock Company,HOSE,Consumer non-durables
CNG,CNG Vietnam Joint Stock Company,HOSE,Process industries
COM,Materials-Petroleum JSC,HOSE,Distribution services
CPC,Can Tho Pesticides JSC,HNX,Process industries
CRC,Create Capital Vietnam Joint Stock Company Ltd,HOSE,Distribution services
CRE,Century Land Joint Stock Company,HOSE,Finance
CRV,,,Unknown
CSC,Cotana Group Joint Stock Company,HNX,Industrial services
CSHB2606,,,Unknown
CSHB2607,,,Unknown
CSHB2608,,,Unknown
CSHB2609,,,Unknown
CSHB2610,,,Unknown
CSHB2611,,,Unknown
CSHB2612,,,Unknown
CSHB2613,,,Unknown
CSHB2614,,,Unknown
CSHB2615,,,Unknown
CSHB2616,,,Unknown
CSHB2617,,,Unknown
CSHB2618,,,Unknown
CSHB2619,,,Unknown
CSHB2620,,,Unknown
CSM,Southern Rubber Industry JSC,HOSE,Consumer durables
CSSB2603,,,Unknown
CSSB2604,,,Unknown
CSSB2605,,,Unknown
CSSB2606,,,Unknown
CSSB2607,,,Unknown
CST,Cao Son Coal Joint Stock Co,HNX,Energy minerals
CSTB2533,,,Unknown
CSTB2536,,,Unknown
CSTB2537,,,Unknown
CSTB2603,,,Unknown
CSTB2604,,,Unknown
CSTB2606,,,Unknown
CSTB2608,,,Unknown
CSTB2609,,,Unknown
CSTB2610,,,Unknown
CSTB2611,,,Unknown
CSTB2612,,,Unknown
CSTB2613,,,Unknown
CSTB2614,,,Unknown
CSTB2615,,,Unknown
CSTB2619,,,Unknown
CSTB2620,,,Unknown
CSTB2621,,,Unknown
CSTB2622,,,Unknown
CSTB2623,,,Unknown
CSTB2624,,,Unknown
CSTB2625,,,Unknown
CSTB2626,,,Unknown
CSTB2627,,,Unknown
CSTB2628,,,Unknown
CSTB2629,,,Unknown
CSV,South Basic Chemicals Joint Stock Company,HOSE,Process industries
CTB,Haiduong Pump Manufacturing JSC,HNX,Producer manufacturing
CTCB2521,,,Unknown
CTCB2522,,,Unknown
CTCB2523,,,Unknown
CTCB2601,,,Unknown
CTCB2603,,,Unknown
CTCB2605,,,Unknown
CTCB2606,,,Unknown
CTCB2607,,,Unknown
CTCB2611,,,Unknown
CTCB2612,,,Unknown
CTCB2613,,,Unknown
CTCB2614,,,Unknown
CTCB2615,,,Unknown
CTCB2616,,,Unknown
CTCB2617,,,Unknown
CTCB2618,,,Unknown
CTCB2619,,,Unknown
CTD,Coteccons Construction JSC,HOSE,Industrial services
CTF,City Auto Corporation,HOSE,Distribution services
CTG,Vietnam Joint Stock Commercial Bank for Industry and Trade,HOSE,Finance
CTI,Cuongthuan Idico Development,HOSE,Transportation
CTP,Hoa Binh Takara Joint Stock Company,HNX,Consumer non-durables
CTPB2605,,,Unknown
CTPB2606,,,Unknown
CTPB2607,,,Unknown
CTPB2608,,,Unknown
CTPB2609,,,Unknown
CTPB2610,,,Unknown
CTPB2611,,,Unknown
CTPB2612,,,Unknown
CTR,Viettel Construction JSC,HOSE,Industrial services
CTS,VietinBank Securities JSC,HOSE,Finance
CTT,Vinacomin - Machinery JSC,HNX,Producer manufacturing
CVHM2523,,,Unknown
CVHM2524,,,Unknown
CVHM2603,,,Unknown
CVHM2604,,,Unknown
CVHM2607,,,Unknown
CVHM2609,,,Unknown
CVHM2610,,,Unknown
CVHM2611,,,Unknown
CVHM2612,,,Unknown
CVHM2613,,,Unknown
CVHM2614,,,Unknown
CVHM2615,,,Unknown
CVHM2616,,,Unknown
CVHM2617,,,Unknown
CVHM2618,,,Unknown
CVHM2619,,,Unknown
CVHM2620,,,Unknown
CVIB2513,,,Unknown
CVIB2601,,,Unknown
CVIB2604,,,Unknown
CVIB2605,,,Unknown
CVIB2606,,,Unknown
CVIB2607,,,Unknown
CVIB2608,,,Unknown
CVIB2609,,,Unknown
CVIB2610,,,Unknown
CVIB2611,,,Unknown
CVIC2515,,,Unknown
CVIC2516,,,Unknown
CVIC2602,,,Unknown
CVIC2603,,,Unknown
CVIC2604,,,Unknown
CVIC2605,,,Unknown
CVIC2606,,,Unknown
CVIC2607,,,Unknown
CVIC2608,,,Unknown
CVIC2609,,,Unknown
CVIC2610,,,Unknown
CVIC2611,,,Unknown
CVJC2602,,,Unknown
CVJC2603,,,Unknown
CVJC2604,,,Unknown
CVJC2605,,,Unknown
CVJC2606,,,Unknown
CVNM2523,,,Unknown
CVNM2601,,,Unknown
CVNM2603,,,Unknown
CVNM2605,,,Unknown
CVNM2606,,,Unknown
CVNM2607,,,Unknown
CVNM2608,,,Unknown
CVNM2609,,,Unknown
CVNM2613,,,Unknown
CVNM2614,,,Unknown
CVNM2615,,,Unknown
CVNM2616,,,Unknown
CVNM2617,,,Unknown
CVNM2618,,,Unknown
CVNM2619,,,Unknown
CVPB2528,,,Unknown
CVPB2531,,,Unknown
CVPB2532,,,Unknown
CVPB2603,,,Unknown
CVPB2606,,,Unknown
CVPB2608,,,Unknown
CVPB2609,,,Unknown
CVPB2610,,,Unknown
CVPB2611,,,Unknown
CVPB2612,,,Unknown
CVPB2613,,,Unknown
CVPB2614,,,Unknown
CVPB2615,,,Unknown
CVPB2616,,,Unknown
CVPB2617,,,Unknown
CVPB2618,,,Unknown
CVPB2619,,,Unknown
CVPB2620,,,Unknown
CVPB2621,,,Unknown
CVPB2622,,,Unknown
CVPB2623,,,Unknown
CVPB2624,,,Unknown
CVPB2625,,,Unknown
CVRE2525,,,Unknown
CVRE2526,,,Unknown
CVRE2603,,,Unknown
CVRE2604,,,Unknown
CVRE2605,,,Unknown
CVRE2606,,,Unknown
CVRE2607,,,Unknown
CVRE2608,,,Unknown
CVRE2609,,,Unknown
CVRE2610,,,Unknown
CVT,CMC Joint Stock Company,HOSE,Industrial services
CX8,Constrexim No. 8 Investment & Construction JSC,HNX,Industrial services
D11,Real Estate 11 JSC,HNX,Finance
D2D,Industrial Urban Development Joint Stock Company No. 2,HOSE,Finance
DAD,Danang Education Development & Investment JSC,HNX,Consumer services
DAE,Educational Book JSC in Da Nang City,HNX,Consumer services
DAH,Dong A Hotel Group JSC,HOSE,Consumer services
DAT,Travel Investment & Seafood Development Corp.,HOSE,Consumer non-durables
DBC,DABACO Group,HOSE,Process industries
DBD,Binh Dinh Pharmaceutical & Medical Equipment JSC,HOSE,Health technology
DBT,Ben Tre Pharmaceutical JSC,HOSE,Health technology
DC2,Development Investment Construction No. 2 JSC,HNX,Industrial services
DC4,DIC Holdings Construction JSC,HOSE,Industrial services
DCL,Cuu Long Pharmaceutical JSC,HOSE,Health technology
DCM,PetroVietnam Ca Mau Fertilizer Joint Stock Company,HOSE,Process industries
DGC,Duc Giang Chemicals Group Joint Stock Company,HOSE,Process industries
DGW,Digiworld Corp.,HOSE,Distribution services
DHA,Hoa An Joint Stock Company,HOSE,Non-energy minerals
DHC,Dong Hai JSC of Ben Tre,HOSE,Process industries
DHG,DHG Pharmaceutical Joint Stock Company,HOSE,Health technology
DHM,Duong Hieu Trading & Mining JSC,HOSE,Non-energy minerals
DHP,Hai Phong Electrical Mechanical JSC,HNX,Consumer durables
DHT,Ha Tay Pharmaceutical JSC,HNX,Health technology
DIG,Development Investment Joint Stock Corporation,HOSE,Producer manufacturing
DIH,Development Investment Construction Hoi An JSC,HNX,Industrial services
DL1,Alpha Seven Group Joint Stock Co,HNX,Distribution services
DLG,Duc Long Gia Lai Group JSC,HOSE,Non-energy minerals
DMC,Domesco Medical Import-Export JSC,HOSE,Health technology
DMX,,,Unknown
DNC,Hai Phong Electricity Water Machine Assembly JSC,HNX,Electronic technology
DNP,Dong Nai Plastic Joint Stock Company,HNX,Producer manufacturing
DP3,Central Pharmaceutical JSC No. 3,HNX,Health technology
DPG,Dat Phuong JSC,HOSE,Industrial services
DPM,Petrovietnam Fertilizer & Chemicals Corp.,HOSE,Process industries
DPR,Dong Phu Rubber JSC,HOSE,Producer manufacturing
DQC,Dien Quang Lamp JSC,HOSE,Producer manufacturing
DRC,Danang Rubber Joint Stock Company,HOSE,Consumer durables
DRH,DRH Holdings JSC,HOSE,Finance
DRL,Hydro Power JSC-Power No.3,HOSE,Utilities
DS3,DS3 Joint Stock Company,HNX,Transportation
DSC,DSC Securities Corporation,HOSE,Finance
DSE,DNSE Securities Join Stock Company,HOSE,Finance
DSN,Dam Sen Water Park Corp.,HOSE,Consumer services
DST,Sao Thang Long Investment JSC,HNX,Consumer services
DTA,De Tam Joint Stock Company,HOSE,Finance
DTD,Thanh Dat Investment Development JSC,HNX,Non-energy minerals
DTG,Tipharco Pharmaceutical Joint Stock Co,HNX,Health technology
DTK,Vinacomin Power Holding Corp,HNX,Utilities
DTL,Dai Thien Loc Corp.,HOSE,Non-energy minerals
DTT,Do Thanh Technology Corp.,HOSE,Producer manufacturing
DVM,Vietnam Medicinal Materials Joint Stock Company,HNX,Health technology
DVP,Dinh Vu Port Investment & Development JSC,HOSE,Transportation
DXG,Dat Xanh Group JSC,HOSE,Finance
DXP,Doan Xa Port Joint Stock Company,HNX,Transportation
DXS,Dat Xanh Real Estate Service JSC,HOSE,Finance
DXV,Da Nang Construction Building Materials Vicem JSC,HOSE,Non-energy minerals
E1VFVN30,,,Unknown
EBS,Educational Book JSC in Hanoi City,HNX,Consumer services
ECI,ECI Group JSC,HNX,Consumer services
EIB,Vietnam Export Import Commercial Joint Stock Bank,HOSE,Finance
EID,Hanoi Education Investment & Development JSC,HNX,Consumer services
ELC,ELCOM Technology Communications Corporation,HOSE,Technology services
EVE,Everpia JSC,HOSE,Consumer durables
EVF,EVN Finance Joint Stock Co,HOSE,Finance
EVG,Everland Group JSC,HOSE,Distribution services
EVS,EVS Securities JSC,HNX,Finance
FCM,FECON Mining JSC,HOSE,Non-energy minerals
FCN,FECON Corporation,HOSE,Industrial services
FDC,,,Unknown
FID,Vietnam Enterprise Investment and Development Joint Stock Company,HNX,Finance
FIR,First Real Estate JSC,HOSE,Finance
FIT,F.I.T Group Joint Stock Company,HOSE,Health technology
FMC,Sao Ta Foods Joint Stock Company,HOSE,Consumer non-durables
FPT,FPT Corp.,HOSE,Technology services
FRT,FPT Digital Retail JSC,HOSE,Distribution services
FTS,FPT Securities Joint Stock Company,HOSE,Finance
FUCTVGF4,,,Unknown
FUCTVGF5,,,Unknown
FUCVREIT,,,Unknown
FUEABVND,,,Unknown
FUEBFVND,,,Unknown
FUEDCMID,,,Unknown
FUEFCV50,,,Unknown
FUEIP100,,,Unknown
FUEKIV30,,,Unknown
FUEKIVFS,,,Unknown
FUEKIVND,,,Unknown
FUEMAV30,,,Unknown
FUEMAVND,,,Unknown
FUEMITEC,,,Unknown
FUEPHVNS,,,Unknown
FUESSV30,,,Unknown
FUESSV50,,,Unknown
FUESSVFL,,,Unknown
FUETCC50,,,Unknown
FUETPVND,,,Unknown
FUEVFVND,,,Unknown
FUEVN100,,,Unknown
FUEVN50G,,,Unknown
GAS,Petrovietnam Gas JSC,HOSE,Utilities
GDT,Duc Thanh Wood Processing JSC,HOSE,Consumer durables
GDW,Gia Dinh Water Supply JSC,HNX,Utilities
GEE,Gelex Electric Joint Stock Company,HOSE,Electronic technology
GEG,Gia Lai Electricity JSC,HOSE,Utilities
GEL,,,Unknown
GEX,Gelex Group Joint Stock Co,HOSE,Electronic technology
GHC,Gia Lai Hydropower Joint Stock Company,UPCOM,Utilities
GIC,VSC GREEN LOGISTICS JOINT STOCK COMPANY,HNX,Transportation
GIL,Binh Thanh Import-Export Production & Trade JSC,HOSE,Consumer non-durables
GKM,GKM Holdings JSC,HNX,Non-energy minerals
GLT,Global Electrical Technology Corp.,HNX,Utilities
GMA,,,Unknown
GMD,GEMADEPT Corp.,HOSE,Transportation
GMH,Minh Hung Quang Tri JSC,HOSE,Non-energy minerals
GMX,My Xuan Brick Tile Pottery and Construction JSC,HNX,Non-energy minerals
GSP,International Gas Product Shipping JSC,HOSE,Transportation
GTA,Thuan An Wood Proccesing Joint Stock Company,HOSE,Consumer durables
GVR,Vietnam Rubber Group Limited,HOSE,Process industries
HAD,Ha Noi - Hai Duong Beer Joint Stock Company,HNX,Consumer non-durables
HAG,Hoang Anh Gia Lai Joint Stock Company,HOSE,Finance
HAH,Hai An Transport & Stevedoring JSC,HOSE,Transportation
HAP,HAPACO Group JSC,HOSE,Process industries
HAR,An Duong Thao Dien Real Estate Trading Investment JSC,HOSE,Finance
HAS,HACISCO JSC,HOSE,Industrial services
HAT,Hanoi Beer Trading JSC,HNX,Consumer non-durables
HAX,Hang Xanh Motor Services JSC,HOSE,Retail trade
HBS,Hoa Binh Securities JSC,HNX,Finance
HCC,Hoa Cam Concrete JSC,HNX,Non-energy minerals
HCD,HCD Investment Producing and Trading JSC,HOSE,Process industries
HCM,Ho Chi Minh City Securities Corp.,HOSE,Finance
HCT,,,Unknown
HDA,Dong A Paint JSC,HNX,Process industries
HDB,Ho Chi Minh City Development Joint Stock Commercial Bank,HOSE,Finance
HDC,Ba Ria-Vung Tau House Development JSC,HOSE,Finance
HDG,Ha Do Group Joint Stock Company,HOSE,Finance
HEV,Higher Educational & Vocational Book JSC,HNX,Consumer services
HGM,Ha Giang Mineral & Mechanics JSC,HNX,Non-energy minerals
HHC,Haiha Confectionery JSC,HNX,Consumer non-durables
HHP,Hai Phong Hoang Ha Paper JSC,HOSE,Process industries
HHS,Hoang Huy Investment Services JSC,HOSE,Consumer durables
HHV,Deo Ca Traffic Infrastructure Investment JSC,HOSE,Transportation
HID,Halcom Vietnam JSC,HOSE,Commercial services
HII,An Tien Industries Joint Stock Co,HOSE,Process industries
HJS,Nam Mu Hydropower JSC,HNX,Utilities
HKT,Ego Vietnam Investment JSC,HNX,Consumer non-durables
HLC,Vinacomin - HaLam Coal JSC,HNX,Distribution services
HLD,Hudland Real Estate Investment & Development JSC,HNX,Consumer durables
HMC,VNsteel-Ho Chi Minh City Metal Corp.,HOSE,Producer manufacturing
HMH,Hai Minh Corporation,HNX,Transportation
HMR,Hoang Mai Stone Joint Stock Co,HNX,Industrial services
HNA,Hua Na Hydropower Joint Stock Co,HOSE,Utilities
HOM,VICEM Hoang Mai Cement JSC,HNX,Non-energy minerals
HPA,,,Unknown
HPG,Hoa Phat Group JSC,HOSE,Non-energy minerals
HPO,,,Unknown
HPX,Hai Phat Investment JSC,HOSE,Finance
HQC,Hoang Quan Corp,HOSE,Finance
HRC,Hoa Binh Rubber JSC,HOSE,Non-energy minerals
HSG,Hoa Sen Group,HOSE,Non-energy minerals
HSL,Hong Ha Food Investment Development Joint Stock Co,HOSE,Consumer non-durables
HT1,Vicem Ha Tien Cement JSC,HOSE,Non-energy minerals
HTC,Hocmon Trade Joint Stock Company,HNX,Distribution services
HTG,Hoa Tho Textile - Garment Joint Stock Corporation,HOSE,Consumer non-durables
HTI,IDICO Infrastructure Development Investment Joint Stock Company,HOSE,Transportation
HTL,Truong Long Engineering & Auto JSC,HOSE,Distribution services
HTN,Hung Thinh Incons JSC,HOSE,Industrial services
HTV,Logistics Vicem Joint Stock Co,HOSE,Transportation
HU1,HUD1 Investment & Construction JSC,HOSE,Finance
HUB,Thua Thien Hue Construction Joint Stock Corp,HOSE,Industrial services
HUT,Tasco Joint Stock Company,HNX,Finance
HVH,HVC Investment & Technology JSC,HOSE,Industrial services
HVN,Vietnam Airlines JSC,HOSE,Transportation
HVT,Viet Tri Chemical JSC,HNX,Process industries
ICG,Song Hong Construction Joint Stock Company,HNX,Finance
ICT,Joint Stock Co for Telecoms and informatics,HOSE,Industrial services
IDC,IDICO Corp. JSC,HNX,Utilities
IDI,I.D.I International Development & Investment Corporation,HOSE,Consumer non-durables
IDJ,IDJ Vietnam Investment Joint Stock Company,HNX,Finance
IDV,Vinh Phuc Infrastructure Development JSC,HNX,Finance
IJC,Becamex Infrastructure Development JSC,HOSE,Finance
ILB,ICD Tan Cang - Long Binh JSC,HOSE,Transportation
IMP,Imexpharm Corporation,HOSE,Health technology
INC,IDICO Investment Consultancy JSC,HNX,Industrial services
INN,Agriculture Printing & Packaging JSC,HNX,Commercial services
IPA,IPA Investment Group Joint Stock Co,HNX,Distribution services
ITC,Investment & Trading of Real Estate Joint Stock Co.,HOSE,Finance
ITD,Innovative Technology Development Corporation,HOSE,Transportation
ITQ,Thien Quang Group JSC,HNX,Non-energy minerals
IVS,Guotai Junan Securities (Vietnam) Corp,HNX,Finance
JVC,Japan Vietnam Medical Instrument JSC,HOSE,Distribution services
KBC,Kinh Bac City Development Holding Corporation,HOSE,Consumer durables
KDC,KIDO Group Corporation,HOSE,Consumer non-durables
KDH,Khang Dien House Trading & Investment JSC,HOSE,Consumer durables
KDM,GCL Group JSC,HNX,Industrial services
KHG,Khai Hoan Land Group Joint Stock Company,HOSE,Finance
KHP,Khanh Hoa Power JSC,HOSE,Utilities
KHS,Kien Hung JSC,HNX,Consumer non-durables
KKC,Produce & Trading Metal JSC,HNX,Non-energy minerals
KLB,Kien Long Commercial Joint Stock Bank,UPCOM,Finance
KMR,Mirae Joint Stock Company,HOSE,Process industries
KMT,Central Vietnam Metal Corporation,HNX,Distribution services
KOS,Kosy JSC,HOSE,Finance
KSB,Binh Duong Mineral & Construction JSC,HOSE,Non-energy minerals
KSD,DNA Investment JSC,HNX,Consumer durables
KSF,Real Tech Group Joint Stock Company,HNX,Finance
KST,Kasati JSC,HNX,Consumer services
KSV,Vinacomin - Minerals Holding Corporation,HNX,Non-energy minerals
KTS,Kon Tum Sugar JSC,HNX,Process industries
L10,LILAMA 10 JSC,HOSE,Producer manufacturing
L14,Licogi 14 JSC,HNX,Consumer durables
L18,Construction & Investment JSC No. 18,HNX,Industrial services
L40,40 Investment and Construction JSC,HNX,Industrial services
LAF,Long An Food Processing Export JSC,HOSE,Consumer non-durables
LAS,Lam Thao Fertilizers & Chemicals JSC,HNX,Process industries
